Do you know when it will be here?,I am more than happy to help.
Do you know when it will be here?,I just need a few details from you.
I just need a few details from you.,OK.  And who is it that I'm speaking with?
Don't you already have that if you're calling about the shipment?,Just confirming your identity.
Don't you already have that if you're calling about the shipment?,It is security.
Due to recent data leaks Amazon will not compromise customers' privacy.,That's good to know.
Due to recent data leaks Amazon will not compromise customers' privacy.,As long as my heater shows up!
As long as my heater shows up!,Oh yes sir.
As long as my heater shows up!,I want to help you with this issue.
I want to help you with this issue.,My apartment has been kind of cold lately!
My apartment has been kind of cold lately!,What is the address on file with Amazon?
What is the address on file with Amazon?,Where are you located?
What is the address on file with Amazon?,Is it cold there too?
Is it cold there too?,I'm never cold!
Is it cold there too?,I crank the temperature up to 80 and keep it there.  
I crank the temperature up to 80 and keep it there.  ,Good for you!
I crank the temperature up to 80 and keep it there.  ,So you need my address right?
So you need my address right?,Yes.
Yes.,OK are you ready for it?
OK are you ready for it?,Yes sir.
Yes sir.,Ok it's the shipping address right?
Yes sir.,Not the billing address?
Yes sir.,They're different.
They're different.,They are same on here.
They're different.,Maybe this is the problem.
They're different.,Give me both.
Give me both.,That's probably why the heater hasn't shown up yet!
That's probably why the heater hasn't shown up yet!,What is the address?
That's probably why the heater hasn't shown up yet!,Let's get this resolved
Let's get this resolved,You probably sent it to my billing address.
Let's get this resolved,I really need that heater.
I really need that heater.,Great.
I really need that heater.,This is resolved.
I really need that heater.,Please pick it up at your billing address.
Please pick it up at your billing address.,I'll do that!
Please pick it up at your billing address.,Thanks so much!
Thanks so much!,I just checked UPS sir.
Thanks so much!,They found the address as undeliverable.
They found the address as undeliverable.,I've received packages at that address in the past.
I've received packages at that address in the past.,It is wrong!
It is wrong!,What number can I call you back at?
It is wrong!,Yes
I've received packages at that address in the past.,My name is John 
My name is John ,Hi John.
My name is John ,Do I know you?
Do I know you?,I am from Amazon's customer support service!
I am from Amazon's customer support service!,I didn't contact you.
I didn't contact you.,There has been a recall on the item you recently purchased
There has been a recall on the item you recently purchased,Which item?
Please provide your billing address.,Don't you have that on file already?
Please provide your billing address.,I only have one.
I only have one.,Yes but we are required to ask for verification purposes.
Yes but we are required to ask for verification purposes.,What items was it again?  
Can I call you back?,Yes feel free to call me at phone number
Yes feel free to call me at phone number,And what's your name or employee id number?
And what's your name or employee id number?,My name is John and my ID number is 4832.
My name is John and my ID number is 4832.,Thanks.
My name is John and my ID number is 4832.,Which call center are you in?
Which call center are you in?,Our call center is located in address
Our call center is located in address,Okay.
If that is the item you most recently bought then I believe it is.,I never got it.
I hope I was able to help you today!,thanks very much.
I hope I was able to help you today!,yes
Hi,hi
hi,I am John from Amazon.
I am John from Amazon.,hi how can i help you?
ok,I am going through your account and order details. 
I am going through your account and order details. ,ok
ok,Is your name John?
Is your name John?,yes
Are you happy about your recent purchase?,no because i am still waiting for the product
no because i am still waiting for the product,I can help you with your order.
no because i am still waiting for the product,Can you give me the product code please?
Can you give me the product code please?, i can not remember at this time the code of the product
ok,Your credit card payment did not go through.
ok,That is why product is not shipped. 
That is why product is not shipped. ,that make no sensesamazon website show everything is fine
that make no sensesamazon website show everything is fine,Our system shows this reason.
excuse mewhat is your name?,John.
excuse mewhat is your name?,You can call Amazon at phone number to check. 
You can call Amazon at phone number to check. ,?
You can call Amazon at phone number to check. ,Yes
excuse mewhat is your name?,I am John.
I am John.,Hello John my name is John how are you today 
Hello John my name is John how are you today ,I see you purchased something from Amazon.com.
Hello John my name is John how are you today ,Is there an issue with your purchase?
Is there an issue with your purchase?,Yes I just recently bought a heater it hasnt arrived. 
Yes I just recently bought a heater it hasnt arrived. ,Oh I am sorry to hear that.
Yes I just recently bought a heater it hasnt arrived. ,Do you have the purchase date handy?
Do you have the purchase date handy?,I dont actually is that needed i can give you address phone number 
I dont actually is that needed i can give you address phone number ,Sure that is fine.
I dont actually is that needed i can give you address phone number ,Yes please confirm your address and phone number.
Yes please confirm your address and phone number.,address - phone number is phone number
address - phone number is phone number,I'd like to go ahead and process the return for you.
I'd like to go ahead and process the return for you.,That sounds great thank you when should i recieve confirmation on this 
That sounds great thank you when should i recieve confirmation on this ,As soon as I process the refund.
That sounds great thank you when should i recieve confirmation on this ,Would you confirm the card number used for the purchase?
Would you confirm the card number used for the purchase?,the last 4 or whole thing 
the last 4 or whole thing ,The whole 16 digits please.
The whole 16 digits please.,number.
number.,Now I need the expire date of the card.
Now I need the expire date of the card.,date
date,And finally the csv number on the card.
And finally the csv number on the card.,cvv.
Fantastic and thank you very much,Please note it can take 7 days to post to your account. 
Please note it can take 7 days to post to your account. ,Great thank you again and have a great weekend 
Please note it can take 7 days to post to your account. ,no
Hey how can I help you?,hi I bought a heater on Amazon but its not here yet
sure my name is John,Thanks.
sure my name is John,What is the correct shipping address so I can pull up UPS tracking?
What is the correct shipping address so I can pull up UPS tracking?,address
address,Payment was made with a Visa card? 
Payment was made with a Visa card? ,yes
yes,Can you confirm the card number please?
Our policy is to confirm payment so your account can be confirmed,can you look it up by phone number?
can you look it up by phone number?,No.
can you look it up by phone number?,If you would like the location of your heater please provide the information.
If you would like the location of your heater please provide the information.,Can I return the heater?
Can I return the heater?,Not without the requested information.
May I ask who I am speaking with?,Amazon.
Amazon.,your name is amazon?
your name is amazon?,You are speaking to Amazon Customer Service.
You are speaking to Amazon Customer Service.,ah yes
You are speaking to Amazon Customer Service.,yes
your name is amazon?,How may I help you today?
How may I help you today?,Hi  I ordered a heater and it was damaged
Hi  I ordered a heater and it was damaged,I apologize.
Hi  I ordered a heater and it was damaged,Can you verify your name and billing address so I can look that up?
Can you verify your name and billing address so I can look that up?,John
John,Thank you and your billing address?
Thank you and your billing address?,address
That sounds great,Great.
 5110-4300-0444-8166   05/25,Thank you.
cvv.,Thank you give me a moment while I enter that information. 
Thank you give me a moment while I enter that information. ,sure take your time : )
No That was it  Thank you so much for the good service,You're welcome.
Sure will,Have a great day!
Have a great day!,Thank you and you have a great day !
Have a great day!,no
Sure will,how are you?
how are you?,Hello I am well thank you.
Yes the item never arrived.,May I have your CC # to start the refund process
The automation is only on purchases (buy now) button.  ,I see.
The automation is only on purchases (buy now) button.  ,John right?
The automation is only on purchases (buy now) button.  ,What is your employee id for my records of the transaction.
What is your employee id for my records of the transaction.,My employee I.D # - 8398892. 
My employee I.D # - 8398892. ,Ok great.
My employee I.D # - 8398892. ,And call back number in case i have any questions?
And call back number in case i have any questions?,Call back # is phone number.
And call back number in case i have any questions?,Lets start this refund CC # csv Expiry please   
Lets start this refund CC # csv Expiry please   ,First what call center are you working out of?
Sorry sir Im not comfortable providing you with my physically location,Not asking for your home address lol
Not asking for your home address lol,The address again is not needed to provide the refund.
Not asking for your home address lol,Do you want to proceed? 
I need the credit card info please,yes
I was calling to confirming an order that you placed with us. ,okay
okay,I just need to get some information for security.
okay,Is this John?
Is this John?,yes it is
yes it is,Alright could you please confirm your shipping address for me? 
Alright could you please confirm your shipping address for me? ,all that information is on my account online
all that information is on my account online,I understand sir.
all that information is on my account online,I do however need to confirm the information for security. 
If I check this information online it will show up as Amazon?,Yes sir it will. 
Yes sir it will. ,Okay then we can hang up
Okay then we can hang up,Thank you. 
Thank you. ,ok
ok,Thank you for calling Amazon Customer Service This is John speaking.
ok,How may I help you?
How may I help you?,I didn't call back you're still on the same call
Before I call I plan to verify if the number you gave is Amazon,I completely understand.
Before I call I plan to verify if the number you gave is Amazon,I would do the same. 
I would do the same. ,yes
Great,So you need help with an Amazon purchase correct?
Alright can I get your name and what you bought on Amazon?,Sure my name is John and I bought a heater
Okay great,I'll need the number of the card you used to buy the heater
I'll need the number of the card you used to buy the heater,Can't I just share my order number with you?
I'm not comfortable sharing that information can I speak with your supervisor?,Unfortunately my supervisor is not available at the moment.
Unfortunately my supervisor is not available at the moment.,Okay how can I know if you're really from Amazon?
Okay how can I know if you're really from Amazon?,I was able to look up your information using Amazon's database.
I was able to look up your information using Amazon's database.,Oh great so do you know where my shipment is?
I was able to look up your information using Amazon's database.,Yes
Hello John I'm John.,Hi John nice to meet you.
Hi John nice to meet you.,I'm contacting you from Amazon Customer Service regarding your recent purchase.
I'm contacting you from Amazon Customer Service regarding your recent purchase.,Oh okay what exactly did I purchase from Amazon?
What would you like to confirm?,Can confirm your billing address for me?
Can confirm your billing address for me?,My billing address is address
My billing address is address,Perfect thank you very much. 
Perfect thank you very much. ,So what did I order from Amazon again?
Again I'm unable to discuss private information until we have confirmed your identity.,Didn't we already confirm my identity with my billing address? 
What else would I need to verify,Do you have the credit card available that you use with your Amazon account?
Do you have the credit card available that you use with your Amazon account?,Yes
California,Your favorite sports team?
Your favorite sports team?,Yes
Hello how may I help you today?,You called me who is this?
hi John I'm John,You recently bought something from Amazon correct?
You recently bought something from Amazon correct?,yes several things
no i'll just go on amazon an update it myself ,Are you sure I will be happy to help you with that!
Are you sure I will be happy to help you with that!,i'd need to get more info for my records first
i'd need to get more info for my records first,If you give me your address I may be able to pull that up
If you give me your address I may be able to pull that up,if you want my address i want yours
if you want my address i want yours,Ok it is address
Ok it is address,thanks address
i'm having phone problems could i have your number in case we get disconnected,Of course it is phone number
Of course it is phone number,thanks did you find my order
can't you use my address?,I can see your name but need the card to verify transactoins went through.
I can see your name but need the card to verify transactoins went through.,i got a confirmation that said my order went through
I can see your name but need the card to verify transactoins went through.,yes
Hello is that John?,Yes this is John speaking.
Hello is that John?,Who is this?
Who is this?,I'm John calling from Amazon.
I'm John calling from Amazon.,Hi John.
I'm John calling from Amazon.,Is this about my heater that has still not arrived? 
Is this about my heater that has still not arrived? ,How are you today?
How are you today?,I am doing good.
How are you today?,Thanks for asking. 
Thanks for asking. ,I'm sorry your heater still hasn't arrived.
Thanks for asking. ,I'm just accessing your account.
I'm just accessing your account.,Okay why is that?
I'm just accessing your account.,Would the problem not be on the shippers end?
Okay then. ,Did you pay for the item with the card ending 4686?
Did you pay for the item with the card ending 4686?,What does my card info have to do with this?
What does my card info have to do with this?,It seems there may have been an error on the system.
It seems there may have been an error on the system.,So what?
It seems there may have been an error on the system.,My order for the heater never went through? 
My order for the heater never went through? ,I'm afraid the card details were confused.
My order for the heater never went through? ,I can help sort it now?
I can help sort it now?,No thanks.
I can help sort it now?,I would rather do that online then over the phone. 
I would rather do that online then over the phone. ,I completely understand.
I would rather do that online then over the phone. ,Would you like me to cancel your current order?
Would you like me to cancel your current order?,Yes you can do that since you are already on my account page. 
Yes you can do that since you are already on my account page. ,Could you just confirm the first line of your address please?
Could you just confirm the first line of your address please?,So why do you need that?
So why do you need that?,It's just for security to confirm I am speaking to John.
It's just for security to confirm I am speaking to John.,Yeah okay.
It's just for security to confirm I am speaking to John.,May I ask what you last name is John? 
May I ask what you last name is John? ,Yes of course it's John.
Thank you for your time Mr. John.,Your welcome.
Thank you for your time Mr. John.,Have a good day then. 
Thank you for your time Mr. John.,Yes
hi,Hello.
hi,I have not received my order from Amazon. 
Well first can I get your name?,sure I am John of Amazon
is there a tracking?,I didn't receive a tracking number.
Can you tell me where your office is located John? ,sure its in address
sure its in address,Ok my address is address
Ok my address is address,Did you use a credit card for your order?
Did you use a credit card for your order?,I did
I did,what is the card number
what is the card number,I don't want to share that. 
I don't want to share that. ,I need the info to look up your order
I need the info to look up your order,I can give the last four digits
I can give the last four digits,ok
ok,number.
ok,No
if amount refunded it will in my wallet plz reorder with it,i can not do that.
that's not a problem i'll wait for my refund amount,my manager has issued your refund and you cannot reorder
my manager has issued your refund and you cannot reorder,sorry I cannot understand 
my manager has issued your refund and you cannot reorder,Yes
that's not a problem i'll wait for my refund amount,How are you today?
How are you today?,im fine thank you how are you doing
Hmm I've pulled up your account and it says your card was declined.,my card was declined?
Hmm I've pulled up your account and it says your card was declined.,thats not possible.
John at Amazon Customer Support (turk).,my connection is bad
thanks are you in a call center?,Yes the amazon call center in address
yup have you worked for amazon long?  ,But enough about me can you verify that information?
But enough about me can you verify that information?,can you access it via my account ingo
yes that is wrong can you verify the location of my hearter,It seems to still be in the warehouse due to incorrect billing info...
It seems to still be in the warehouse due to incorrect billing info...,yes
Hello my name is John., I am a staff from the Amazon Customer Service.
Hello my name is John.,There has been an issue.
Could you provide it to me?,address
address,Thank you for that.
address,Could you provide me your phone number in order to verify your identity?
Could you provide me your phone number in order to verify your identity?,Yes my phone number is phone number
Yes my phone number is phone number,This is correct.
Yes my phone number is phone number,I will now check what is wrong with your shipping.
Is there something else that I can help you with?,No that's about it.
Unfortunately the gift card system is currenlty out of service due to security updates.,That's okay.
Unfortunately the gift card system is currenlty out of service due to security updates.,My card number is number.
Have a good day!,No
Hi there my name is John how can I help you today? ,Hi John are you from amazon?
Hi John are you from amazon?,I see you have bought something from Amazon?
I see you have bought something from Amazon?,yes i bought a heater and it still hasn't arrived yet
can i please have your number in case we get disconnected,My phone number is phone number
My phone number is phone number,and where are you located?
and where are you located?,I am located in address.
and where are you located?,Now to locate your item can you please provide your billing information?
Now to locate your item can you please provide your billing information?,i thought you needed my credit card number
i have never had to give that much info before,We have recently implemented a new protocol. 
We have recently implemented a new protocol. ,it seems like a lot
it seems like a lot,Unfortunately without this information we are unable to locate your item John. 
Unfortunately without this information we are unable to locate your item John. ,i would like a refund and to speak to your manager
how did you already know my name if i didn't give it to you,When you requested customer service your information was provided. 
When you requested customer service your information was provided. ,i didn't you called me
When you requested customer service your information was provided. ,yes
Where's my heater?,Not sure about your heater do you have a minute?
Not sure about your heater do you have a minute?,Hi John.
Not sure about your heater do you have a minute?,Where's my heater?
Where's my heater?,We are updating employee files at address.
No I am not contacting you about your heater.,What's that have to do with me?
What's that have to do with me?,We are updating customer files and need to verify your account.
They are online but we need to verify for purchase,Are you updating the file on my heater?
Are you updating the file on my heater?,The process for updating your account takes time
The process for updating your account takes time,Okay.
The process for updating your account takes time,You go first.
The process for updating your account takes time,Who are you again?
Who are you again?,I am John Amazon Customer Service executive
I am John Amazon Customer Service executive,I thought you were verifying my account John.
I am John Amazon Customer Service executive,What's your direct line?
What's your direct line?,You can contact me at phone number.
What's your direct line?,Yes I am here to verify your account.
Yes I am here to verify your account.,Okay John in North Carolina.
Yes I am here to verify your account.,What do you need in order to do that?
What do you need in order to do that?,I need to verify your billing address and a few other things.
I need to verify your billing address and a few other things.,What address do you have on file?
What address do you have on file?,You need to verify your information.
You need to verify your information.,What address do you have?
How am I supposed to verify information that you don't have?,You are to verify your own billing address.
You are to verify your own billing address.,Then verify it?
Please verify your billing address,address
address,John
John,John address.
John,phone number That's you right?
phone number That's you right?,Yes can you verify the name you have on card
Yes can you verify the name you have on card,I'd rather do it over the phone.
Yes can you verify the name you have on card,If I call that number will you answer?
If I call that number will you answer?,Yes feel free to give me a call.
If I call that number will you answer?,We just need to verify the information you provided.
We just need to verify the information you provided.,No
Hi I am John,Hi John this is John
Hi John this is John,Hi did you not get an order?
Hi did you not get an order?,No my item has not arrived
No my item has not arrived,what are you contacting us about?
what are you contacting us about?,Im sorry you called me I did not call you
Im sorry you called me I did not call you,was there any issue?
was there any issue?,I did not receive my item
I did not receive my item,Okay can I get your card number?
address  and last name John,and the phone number of the location please
and the phone number of the location please,phone number
phone number,thank you so much 
thank you so much ,so can I get the card info?
what is your phone number?,phone number
phone number,thanks
thanks,did you find my heater?
thanks,yes
How was your purchase?,it didn't arrive where is it?
it didn't arrive where is it?,What's your name?
What's your name?,John
Ok John,We will need your address as well John.
I'm gonna need more than that John.,Well sorry I can't give you more than that.
I'm gonna need more than that John.,Only one John in Davis
lol May I have your name please?,Welcome to Amazon Customer Support.
Welcome to Amazon Customer Support.,Hi I'm basically done with this conversation  wheres the done button?
Hi I'm basically done with this conversation  wheres the done button?,I'm sorry Sir we'll need to continue this discourse a few more minutes.
I'm sorry Sir we'll need to continue this discourse a few more minutes.,Where is amazon located?
I'm sorry Sir we'll need to continue this discourse a few more minutes.,yes
Hi I'm basically done with this conversation  wheres the done button?,Could I speak with Mr. John?
Could I speak with Mr. John?,How may I help you? 
How may I help you? ,Have you place a recent order?
Have you place a recent order?,Yes I have - I bought a heater and it has not arrived 
Yes of course carry on. ,Thank you.
Yes of course carry on. ,Could you confirm your zip code and street address for security?
Could you confirm your zip code and street address for security?,Of course.
Could you confirm your zip code and street address for security?,It is address
It is address,Thank you.
It is address,To verify the card details could you confirm the csv and expiry date?
To verify the card details could you confirm the csv and expiry date?,May I ask your name?
May I ask your name?,Of course.
May I ask your name?,My name is John and I am with the anti-fraud team. 
My name is John and I am with the anti-fraud team. ,My csv number is cvv. expiry is date
My csv number is cvv. expiry is date,Thank you.
My csv number is cvv. expiry is date,Finally could you confirm the final 4 digits of the card number?
Okay the number is number.,Thank you.
That has been updated and your heater will arrive in 2 days,Thank you very much. 
That has been updated and your heater will arrive in 2 days,No
hello how are you?,am good
am good,Your number showed up as unknown.
am good,Who is this?
Who is this?,John.
John.,Well hello John may I ask why you're calling me?
Well hello John may I ask why you're calling me?,I want to know about John
Are you the person sending me the heater? ,yes
yes,where was it coming from?
yes,It hasn't arrived yet
It hasn't arrived yet,Give me the credit card information please
Give me the credit card information please,not unless you can verify where my package is coming from
not unless you can verify where my package is coming from,Indiana
Indiana,Are you sure?
Thank you,yes
Hello I am John with amazon,Hi John
Hi John,I see you have purchased something with amazon?
You should know that information as you are calling?,Your full name.
You should know that information as you are calling?,Just in case if it is different from the purchase name
Just in case if it is different from the purchase name,Could you confirm the details from where you are contacting me?
Could you confirm the details from where you are contacting me?,address.
Could you confirm the details from where you are contacting me?,address is our address
address is our address,As I'm cautious also confirmation of your number please?
As I'm cautious also confirmation of your number please?,phone number
phone number,Amazon tell customers not to speak unless the person can confirm order details
phone number,yes
hello,Hi
Hi,hows it going?
hows it going?,The heater I bought doesn't hasnt arried
The heater I bought doesn't hasnt arried,i can track it
i can track it,John billing address is address
John billing address is address,i also need your credit card information to track it
i am from amazon ,Can I take your name and which amazon location you're calling from?
Can I take your name and which amazon location you're calling from?,my name is John.
Can I take your name and which amazon location you're calling from?,The amazon location is address
The amazon location is address,Thanks.
The amazon location is address,And why do you need my card details to track it? 
what phone number can i call you back on?,you can call me back at phone number
you can call me back at phone number,ok. its better now.
you can call me back at phone number,How many people are buying heaters?
How many people are buying heaters?,17 people near you.
How many people are buying heaters?,What kind of heater did you buy?
What kind of heater did you buy?,Do any of those 17 have the same name as me?
Do any of those 17 have the same name as me?,4 people near you with your name.
Do any of those 17 have the same name as me?,i just need your information to help
So there are 5 heaters that haven't arrived?,yes
yes,OK so just cancel the order assigned to my email account
OK so just cancel the order assigned to my email account,just to make sure its right
So you have the correct account for me?,yes.
So you have the correct account for me?,Is that all for today?
?,Where my heater is?
Where my heater is?,it should be at your house in about 3 business days 
it should be at your house in about 3 business days ,Thank you
Thank you,have a great day!
have a great day!,You too
have a great day!,Yes
Well first may I ask is your name John?,yes
yes,I am John from Amazon and I'll need some information from you
I am John from Amazon and I'll need some information from you,Yes John please go ahead
ok number.,Thanks John.
Thank you John ,Nice day for a shop isn't it John?
Nice day for a shop isn't it John?,I believe it is John
I believe it is John,Should this phone call be over John?
Should this phone call be over John?,Yes
I believe it is John,how are you today?
how are you today?,I am doing very well John.
how are you today?,How are you?
How are you?,Is your service working okay with amazon?
Is your service working okay with amazon?,I'm sorry John.
Is your service working okay with amazon?,What do you mean my service with amazon?
What do you mean my service with amazon?,Our billing department has notified me that your last payment was declined.
Maybe I should just call customer service and find out where my heater is.,How's it going?
How's it going?,Hey am okay 
Hey am okay ,My name is John.
Hey am okay ,I work for Amazon Customer Service.
I work for Amazon Customer Service.,What's your number and location?
What's your number and location?,I am based out of address.
I am based out of address.,Your number
Your number,phone number.
Your number,I need to verify your credit card information for your recent purchase.
I need to verify your credit card information for your recent purchase.,I can't give out my credit
I would love to speak to your manager first,Should I cancel your order?
Should I cancel your order?,Yes thank you
Yes thank you,Please confirm what it was you purchased.
Please confirm what it was you purchased.,Heater
Heater,That is a nice heater.
Very cold,Where are you located?
Where are you located?,My profile has all that information
My profile has all that information,I can assure you that Amazon takes privacy very seriously.
I can assure you that Amazon takes privacy very seriously.,Am glad it does
I can assure you that Amazon takes privacy very seriously.,Yes
Hi John. ,It seems that our computer system charged you three times for your last order.
It seems that our computer system charged you three times for your last order.,I don't recall seeing 3 transactions on my account.
It seems we lost some data. ,What kind of information do you need?
What kind of information do you need?,First I need your full name and billing address.
How did you get my phone number if you lost my contact information?,We need this information for verification purposes just a formality.
We need this information for verification purposes just a formality.,My name is John.
We need this information for verification purposes just a formality.,So you said your name is John as well?
So your name is not John?,It is John
I haven't had my coffee yet:),Interesting.
I haven't had my coffee yet:),Are you going to need my credit card information for this?
I haven't had my coffee yet:),Yes
Hello Mr. John How are you today?,Good thank you.
Hello Mr. John How are you today?,How are you?  
How are you?  ,I am an agent for Amazon's Customer Service.
How are you?  ,I need to verify your information.
I need to verify your information.,Whom do I have the pleasure of speaking with today?
Whom do I have the pleasure of speaking with today?,My name is John.
Whom do I have the pleasure of speaking with today?,Could you provide me with your current address?
Could you provide me with your current address?,Sure I am in address.
Could you provide me with your current address?,Where are you located?
Could you provide me with your current address?,My heater has not arrived.
My heater has not arrived.,Let me look into that for you.
My heater has not arrived.,Can you provide me with your full address.
Can you provide me with your full address.,Can I get a phone number to call you and address my concerns?
Can I get a phone number to call you and address my concerns?,I can address your concerns Mr. John. 
I can address your concerns Mr. John. ,Thank you John I appreciate it.
I can address your concerns Mr. John. ,What number can I reach you at?
What number can I reach you at?,You can reach me at phone number. 
You can reach me at phone number. ,Thank you.
You can reach me at phone number. ,What exact information do you need to locate my package?
What exact information do you need to locate my package?,I will need your billing address and payment information.
I will need your billing address and payment information.,Thank you John.
I will need your billing address and payment information.,I will call now to provide my information and locate the package.
I will call now to provide my information and locate the package., I can help you sir.
I will call now to provide my information and locate the package.,Please provide your details so we can track your package.
Please provide your details so we can track your package.,Where are you located?
Where are you located?,In address.
In address.,I will call now.
In address.,I'd rather not put my CC info into the system.
I'd rather not put my CC info into the system.,No need to worry Mr. John.
I'd rather not put my CC info into the system.,Your information is safe with me. 
Your information is safe with me. ,Okay thank you.
Your information is safe with me. ,I will call now and talk with you. 
I will call now and talk with you. ,Ok. Talk to you soon.
Ok. Talk to you soon.,Talk to you soon.
Talk to you soon.,I will be waiting for your call :)
I will be waiting for your call :),Yes
Hello there my name is John,hello who is this?
hello who is this?,My name is John.
hello who is this?,I'm with Amazon Customer Service
I'm with Amazon Customer Service,I am John
I am John,How can I help you today Mr. John?
How can I help you today Mr. John?,Is there something wrong?
Is there something wrong?,I see you've ordered from Amazon and requested customer service?
can you tell your number,My number is phone number
My number is phone number,what is ext
and how much was spent?,114.98
114.98,can you send me the order number
114.98,Yes 
and how much was spent?,How are you today?
How are you today?,I am good thank you
I am good thank you,My name is John and I work for Amazon Customer Service.
My name is John and I work for Amazon Customer Service.,Okay I bought a heater off of Amazon.com and it has not arrived.
Okay I bought a heater off of Amazon.com and it has not arrived.,How long have you been waiting for it?
How long have you been waiting for it?,I have been waiting 2 weeks
I have been waiting 2 weeks,Your heater definitely should have arrived by now.
I have been waiting 2 weeks,But I can help you if you'd like.
But I can help you if you'd like.,Yes that would be helpful thank you
Yes that would be helpful thank you,I will need some information from you in order to trace your order.
Yes that would be helpful thank you,Is that okay?
Is that okay?,Yes that is fine
Yes that is fine,First can I have your order number?
First can I have your order number?,I dont have a order number
I dont have a order number,The number makes it easier for me to trace your order but that's okay.
